measurement_id,oligo_id,study_type,species,subject_class,system_model,tissue,delivery_method,dose_or_conc_value,dose_or_conc_unit,exposure_duration,readout_category,readout_name,readout_value,readout_unit,effect_direction,effect_vs_control,nephrotox_grade,is_kidney_specific,source_id,source_ref,source_table,redistribution,notes
MSR116,OLG045,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,3,uM,6_days,injury_biomarker,extracellular_EGF,124,pct_saline_control,increase,1.24x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_1-1;invivo_class_innocuous;SD_1;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR117,OLG045,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,10,uM,6_days,injury_biomarker,extracellular_EGF,152,pct_saline_control,increase,1.52x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_1-1;invivo_class_innocuous;SD_0.8;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR118,OLG045,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,30,uM,6_days,injury_biomarker,extracellular_EGF,180,pct_saline_control,increase,1.80x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_1-1;invivo_class_innocuous;SD_4;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR119,OLG045,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,100,uM,6_days,injury_biomarker,extracellular_EGF,172,pct_saline_control,increase,1.72x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_1-1;invivo_class_innocuous;SD_3;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR120,OLG045,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,3,uM,3_days,injury_biomarker,extracellular_EGF,95,pct_saline_control,no_change,0.95x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_1-1;invivo_class_innocuous;SD_7;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR121,OLG045,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,10,uM,3_days,injury_biomarker,extracellular_EGF,99,pct_saline_control,no_change,0.99x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_1-1;invivo_class_innocuous;SD_20;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR122,OLG045,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,30,uM,3_days,injury_biomarker,extracellular_EGF,112,pct_saline_control,no_change,1.12x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_1-1;invivo_class_innocuous;SD_5;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR123,OLG045,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,100,uM,3_days,injury_biomarker,extracellular_EGF,120,pct_saline_control,increase,1.20x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_1-1;invivo_class_innocuous;SD_13;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR124,OLG045,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,3,uM,6_days,injury_biomarker,extracellular_EGF,62,pct_saline_control,decrease,0.62x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_1-1;invivo_class_innocuous;SD_6;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR125,OLG045,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,10,uM,6_days,injury_biomarker,extracellular_EGF,71,pct_saline_control,decrease,0.71x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_1-1;invivo_class_innocuous;SD_5;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR126,OLG045,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,30,uM,6_days,injury_biomarker,extracellular_EGF,77,pct_saline_control,decrease,0.77x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_1-1;invivo_class_innocuous;SD_4;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR127,OLG045,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,100,uM,6_days,injury_biomarker,extracellular_EGF,98,pct_saline_control,no_change,0.98x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_1-1;invivo_class_innocuous;SD_5;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR128,OLG047,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,3,uM,3_days,injury_biomarker,extracellular_EGF,70,pct_saline_control,decrease,0.70x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_3-1;invivo_class_medium;SD_5;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR129,OLG047,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,10,uM,3_days,injury_biomarker,extracellular_EGF,75,pct_saline_control,decrease,0.75x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_3-1;invivo_class_medium;SD_17;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR130,OLG047,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,30,uM,3_days,injury_biomarker,extracellular_EGF,70,pct_saline_control,decrease,0.70x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_3-1;invivo_class_medium;SD_13;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR131,OLG047,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,100,uM,3_days,injury_biomarker,extracellular_EGF,128,pct_saline_control,increase,1.28x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_3-1;invivo_class_medium;SD_12;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR132,OLG047,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,3,uM,6_days,injury_biomarker,extracellular_EGF,124,pct_saline_control,increase,1.24x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_3-1;invivo_class_medium;SD_1;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR133,OLG047,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,10,uM,6_days,injury_biomarker,extracellular_EGF,137,pct_saline_control,increase,1.37x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_3-1;invivo_class_medium;SD_2;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR134,OLG047,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,30,uM,6_days,injury_biomarker,extracellular_EGF,231,pct_saline_control,increase,2.31x,1,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_3-1;invivo_class_medium;SD_4;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR135,OLG047,in_vitro,human,human_invitro,PTEC-TERT1,proximal_tubule,gymnotic_free_uptake,100,uM,6_days,injury_biomarker,extracellular_EGF,2413,pct_saline_control,increase,24.13x,3,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_3-1;invivo_class_medium;SD_22;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR136,OLG047,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,3,uM,3_days,injury_biomarker,extracellular_EGF,114,pct_saline_control,no_change,1.14x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_3-1;invivo_class_medium;SD_22;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR137,OLG047,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,10,uM,3_days,injury_biomarker,extracellular_EGF,139,pct_saline_control,increase,1.39x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_3-1;invivo_class_medium;SD_19;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR138,OLG047,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,30,uM,3_days,injury_biomarker,extracellular_EGF,134,pct_saline_control,increase,1.34x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_3-1;invivo_class_medium;SD_16;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR139,OLG047,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,100,uM,3_days,injury_biomarker,extracellular_EGF,269,pct_saline_control,increase,2.69x,1,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_3-1;invivo_class_medium;SD_60;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR140,OLG047,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,3,uM,6_days,injury_biomarker,extracellular_EGF,152,pct_saline_control,increase,1.52x,0,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_3-1;invivo_class_medium;SD_28;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR141,OLG047,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,10,uM,6_days,injury_biomarker,extracellular_EGF,286,pct_saline_control,increase,2.86x,1,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_3-1;invivo_class_medium;SD_11;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR142,OLG047,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,30,uM,6_days,injury_biomarker,extracellular_EGF,653,pct_saline_control,increase,6.53x,2,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_3-1;invivo_class_medium;SD_116;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR143,OLG047,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,100,uM,6_days,injury_biomarker,extracellular_EGF,915,pct_saline_control,increase,9.15x,2,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_3-1;invivo_class_medium;SD_55;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
