measurement_id,oligo_id,study_type,species,subject_class,system_model,tissue,delivery_method,dose_or_conc_value,dose_or_conc_unit,exposure_duration,readout_category,readout_name,readout_value,readout_unit,effect_direction,effect_vs_control,nephrotox_grade,is_kidney_specific,source_id,source_ref,source_table,redistribution,notes
MSR154,OLG048,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,30,uM,3_days,injury_biomarker,extracellular_EGF,373,pct_saline_control,increase,3.73x,1,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_4-1;invivo_class_high;SD_46;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR155,OLG048,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,100,uM,3_days,injury_biomarker,extracellular_EGF,631,pct_saline_control,increase,6.31x,2,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_4-1;invivo_class_high;SD_92;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR156,OLG048,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,3,uM,6_days,injury_biomarker,extracellular_EGF,525,pct_saline_control,increase,5.25x,2,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_4-1;invivo_class_high;SD_57;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR157,OLG048,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,10,uM,6_days,injury_biomarker,extracellular_EGF,1171,pct_saline_control,increase,11.71x,2,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_4-1;invivo_class_high;SD_145;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR158,OLG048,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,30,uM,6_days,injury_biomarker,extracellular_EGF,1588,pct_saline_control,increase,15.88x,3,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_4-1;invivo_class_high;SD_316;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR159,OLG048,in_vitro,human,human_invitro,primary_human_PTEC,proximal_tubule,gymnotic_free_uptake,100,uM,6_days,injury_biomarker,extracellular_EGF,1403,pct_saline_control,increase,14.03x,2,TRUE,N3,US11105794,Table 2,public_domain,patent_compound_4-1;invivo_class_high;SD_223;gymnotic_naked_uptake;mean_of_3_identical_treatments;grade_from_fold_over_saline_rubric_see_scripts_extract_patent_table2;grade_provisional
MSR160,OLG011,clinical,human,human_clinical,DMD_patients,kidney,systemic_dose,TBD,mg/kg,TBD,clinical_renal_outcome,kidney_toxicity_monitored,not_observed,NA,no_change,TBD,0,TRUE,A11,DailyMed_SPL_35c227d1-5b24-44b0-b5d3-f0f6b1c46bd5;Vyondys53_label,Section 5.2 Warnings and Precautions - Kidney Toxicity,public_domain,renal_endpoints_PRESCRIBED_and_monitored_then_reported_negative;label_states_kidney_toxicity_not_observed_in_clinical_studies;serum_creatinine_unreliable_in_DMD_reduced_muscle_mass_per_label;monitored_analytes_cystatin_C;urine_dipstick;UPCR;measured_negative_not_absence_of_reporting;grade_provisional
MSR161,OLG011,animal_invivo,multi_species,animal_invivo,nonclinical_label_summary,kidney,systemic_dose,TBD,mg/kg,TBD,histopathology,renal_tubular_toxicity,observed,NA,increase,TBD,2,TRUE,A11,DailyMed_SPL_35c227d1-5b24-44b0-b5d3-f0f6b1c46bd5;Vyondys53_label,Section 5.2 Warnings and Precautions - Kidney Toxicity,public_domain,juvenile_rat_dose_dependent_renal_tubular_effects;mouse_and_rat_kidney_toxicity;primate_microscopic_renal_changes;label_level_nonclinical_summary_not_primary_study_data;dose_and_duration_not_given_in_label;grade_provisional
MSR162,OLG012,clinical,human,human_clinical,DMD_patients,kidney,systemic_dose,TBD,mg/kg,TBD,clinical_renal_outcome,kidney_toxicity_monitored,not_observed,NA,no_change,TBD,0,TRUE,A12,DailyMed_SPL_e9e5fd44-eeda-4580-bba1-a734828bbcc3;Amondys45_label,Section 5.2 Warnings and Precautions - Kidney Toxicity,public_domain,renal_endpoints_PRESCRIBED_and_monitored_then_reported_negative;label_states_kidney_toxicity_not_observed_in_clinical_studies;serum_creatinine_unreliable_in_DMD_reduced_muscle_mass_per_label;monitored_analytes_cystatin_C;urine_dipstick;UPCR;measured_negative_not_absence_of_reporting;grade_provisional
MSR163,OLG012,animal_invivo,multi_species,animal_invivo,nonclinical_label_summary,kidney,systemic_dose,TBD,mg/kg,TBD,histopathology,renal_tubular_toxicity,observed,NA,increase,TBD,2,TRUE,A12,DailyMed_SPL_e9e5fd44-eeda-4580-bba1-a734828bbcc3;Amondys45_label,Section 5.2 Warnings and Precautions - Kidney Toxicity,public_domain,juvenile_rat_and_mouse_renal_tubular_degeneration_necrosis;label_level_nonclinical_summary_not_primary_study_data;dose_and_duration_not_given_in_label;grade_provisional
MSR164,OLG013,clinical,human,human_clinical,DMD_patients,kidney,systemic_dose,TBD,mg/kg,TBD,clinical_renal_outcome,kidney_toxicity_monitored,not_observed,NA,no_change,TBD,0,TRUE,A13,DailyMed_SPL_1ffff9a8-6d6a-4dcb-8493-1b6cc3a5d123;Viltepso_label,Section 5.1 Warnings and Precautions - Kidney Toxicity,public_domain,renal_endpoints_PRESCRIBED_and_monitored_then_reported_negative;label_states_kidney_toxicity_not_observed_in_clinical_studies;serum_creatinine_unreliable_in_DMD_reduced_muscle_mass_per_label;monitored_analytes_cystatin_C;urine_dipstick;UPCR;measured_negative_not_absence_of_reporting;grade_provisional
MSR165,OLG013,animal_invivo,multi_species,animal_invivo,nonclinical_label_summary,kidney,systemic_dose,TBD,mg/kg,TBD,histopathology,renal_tubular_toxicity,observed,NA,increase,TBD,2,TRUE,A13,DailyMed_SPL_1ffff9a8-6d6a-4dcb-8493-1b6cc3a5d123;Viltepso_label,Section 5.1 Warnings and Precautions - Kidney Toxicity,public_domain,kidney_toxicity_observed_in_animals_label_summary_see_section_8.4;label_level_nonclinical_summary_not_primary_study_data;dose_and_duration_not_given_in_label;grade_provisional
