compound,meddra_pt,n_reports_drug_and_event,drug_total_faers_reports,background_event_reports_all_drugs,faers_grand_total,PRR,chi2_yates,signal_flag_a3_prr2_chi4,exact_openfda_query
defibrotide,DISSEMINATED INTRAVASCULAR COAGULATION,11,3546,13950,20692690,4.6,27.5,True,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""defibrotide""+AND+patient.reaction.reactionmeddrapt.exact:""DISSEMINATED INTRAVASCULAR COAGULATION""&limit=1"
nusinersen,PROTHROMBIN TIME PROLONGED,10,7655,5965,20692690,4.54,24.1,True,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""nusinersen""+AND+patient.reaction.reactionmeddrapt.exact:""PROTHROMBIN TIME PROLONGED""&limit=1"
defibrotide,PROTHROMBIN TIME SHORTENED,1,3546,1387,20692690,4.21,0.3,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""defibrotide""+AND+patient.reaction.reactionmeddrapt.exact:""PROTHROMBIN TIME SHORTENED""&limit=1"
defibrotide,PROTHROMBIN TIME PROLONGED,4,3546,5965,20692690,3.92,6.0,True,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""defibrotide""+AND+patient.reaction.reactionmeddrapt.exact:""PROTHROMBIN TIME PROLONGED""&limit=1"
inclisiran_LEQVIO,COAGULATION TIME PROLONGED,2,7295,1539,20692690,3.69,1.7,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""LEQVIO""+AND+patient.reaction.reactionmeddrapt.exact:""COAGULATION TIME PROLONGED""&limit=1"
givosiran,INTERNATIONAL NORMALISED RATIO DECREASED,1,1462,4031,20692690,3.51,0.2,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""givosiran""+AND+patient.reaction.reactionmeddrapt.exact:""INTERNATIONAL NORMALISED RATIO DECREASED""&limit=1"
inotersen_TEGSEDI,INTERNATIONAL NORMALISED RATIO DECREASED,1,1763,4031,20692690,2.91,0.1,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""TEGSEDI""+AND+patient.reaction.reactionmeddrapt.exact:""INTERNATIONAL NORMALISED RATIO DECREASED""&limit=1"
inclisiran_LEQVIO,INTERNATIONAL NORMALISED RATIO DECREASED,4,7295,4031,20692690,2.82,3.0,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""LEQVIO""+AND+patient.reaction.reactionmeddrapt.exact:""INTERNATIONAL NORMALISED RATIO DECREASED""&limit=1"
eteplirsen,FIBRIN D DIMER INCREASED,1,2391,3516,20692690,2.46,0.0,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""eteplirsen""+AND+patient.reaction.reactionmeddrapt.exact:""FIBRIN D DIMER INCREASED""&limit=1"
donidalorsen,INTERNATIONAL NORMALISED RATIO INCREASED,1,302,28414,20692690,2.41,0.0,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""donidalorsen""+AND+patient.reaction.reactionmeddrapt.exact:""INTERNATIONAL NORMALISED RATIO INCREASED""&limit=1"
givosiran,PROTHROMBIN TIME PROLONGED,1,1462,5965,20692690,2.37,0.0,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""givosiran""+AND+patient.reaction.reactionmeddrapt.exact:""PROTHROMBIN TIME PROLONGED""&limit=1"
patisiran,FIBRIN D DIMER INCREASED,1,2810,3516,20692690,2.09,0.0,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""patisiran""+AND+patient.reaction.reactionmeddrapt.exact:""FIBRIN D DIMER INCREASED""&limit=1"
inotersen_TEGSEDI,INTERNATIONAL NORMALISED RATIO INCREASED,5,1763,28414,20692690,2.07,1.8,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""TEGSEDI""+AND+patient.reaction.reactionmeddrapt.exact:""INTERNATIONAL NORMALISED RATIO INCREASED""&limit=1"
inotersen_TEGSEDI,PROTHROMBIN TIME PROLONGED,1,1763,5965,20692690,1.97,0.0,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""TEGSEDI""+AND+patient.reaction.reactionmeddrapt.exact:""PROTHROMBIN TIME PROLONGED""&limit=1"
givosiran,INTERNATIONAL NORMALISED RATIO INCREASED,3,1462,28414,20692690,1.49,0.1,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""givosiran""+AND+patient.reaction.reactionmeddrapt.exact:""INTERNATIONAL NORMALISED RATIO INCREASED""&limit=1"
inotersen_TEGSEDI,COAGULOPATHY,2,1763,16396,20692690,1.43,0.0,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""TEGSEDI""+AND+patient.reaction.reactionmeddrapt.exact:""COAGULOPATHY""&limit=1"
inotersen_TEGSEDI,HAEMORRHAGE,12,1763,103173,20692690,1.37,0.8,False,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""TEGSEDI""+AND+patient.reaction.reactionmeddrapt.exact:""HAEMORRHAGE""&limit=1"
patisiran,INTERNATIONAL NORMALISED RATIO INCREASED,5,2810,28414,20692690,1.3,0.1,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""patisiran""+AND+patient.reaction.reactionmeddrapt.exact:""INTERNATIONAL NORMALISED RATIO INCREASED""&limit=1"
nusinersen,DISSEMINATED INTRAVASCULAR COAGULATION,6,7655,13950,20692690,1.16,0.0,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""nusinersen""+AND+patient.reaction.reactionmeddrapt.exact:""DISSEMINATED INTRAVASCULAR COAGULATION""&limit=1"
nusinersen,COAGULOPATHY,7,7655,16396,20692690,1.15,0.0,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""nusinersen""+AND+patient.reaction.reactionmeddrapt.exact:""COAGULOPATHY""&limit=1"
imetelstat,HAEMORRHAGE,1,176,103173,20692690,1.14,0.2,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""imetelstat""+AND+patient.reaction.reactionmeddrapt.exact:""HAEMORRHAGE""&limit=1"
givosiran,DISSEMINATED INTRAVASCULAR COAGULATION,1,1462,13950,20692690,1.01,0.2,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""givosiran""+AND+patient.reaction.reactionmeddrapt.exact:""DISSEMINATED INTRAVASCULAR COAGULATION""&limit=1"
nusinersen,INTERNATIONAL NORMALISED RATIO INCREASED,9,7655,28414,20692690,0.86,0.1,False,"https://api.fda.gov/drug/event.json?search=patient.drug.openfda.substance_name:""nusinersen""+AND+patient.reaction.reactionmeddrapt.exact:""INTERNATIONAL NORMALISED RATIO INCREASED""&limit=1"
