nct_id,arm_label,oligo_name,arm_role,is_comparator,n_at_risk,tierA_affected,tierB_affected,tierA_event,tierB_event,tierA_terms,max_grade,delivery_route,route_is_cns,indication,oligo_class,backbone_chemistry,modification_pattern,has_sequence,trial_status,n_measurement_rows
NCT00327470,Early AMD,pegaptanib,exposed,0,107,0,0,0,0,none,0,NOT_REPORTED,0,Age Related Macular Degeneration (AMD); Macular Degeneration; Choroidal Neovascu,aptamer,NOT_REPORTED,NOT_REPORTED,0,TERMINATED,1
NCT00327470,Established AMD,pegaptanib,exposed,0,179,0,0,0,0,none,0,NOT_REPORTED,0,Age Related Macular Degeneration (AMD); Macular Degeneration; Choroidal Neovascu,aptamer,NOT_REPORTED,NOT_REPORTED,0,TERMINATED,1
NCT00358501,Defibrotide,defibrotide,exposed,0,102,0,0,0,0,none,0,intravenous,0,Severe Hepatic Veno-Occlusive Disease,other,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00362180,Mipomersen,mipomersen,exposed,0,19,0,0,0,0,none,0,subcutaneous,0,"Lipid Metabolism, Inborn Errors; Hyperlipidemias; Metabolic Diseases; Hypolipopr",ASO_gapmer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00362180,Not Treated,mipomersen,exposed,0,6,0,0,0,0,none,0,subcutaneous,0,"Lipid Metabolism, Inborn Errors; Hyperlipidemias; Metabolic Diseases; Hypolipopr",ASO_gapmer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00362180,Placebo,placebo_or_sham_control,comparator,1,14,0,0,0,0,none,0,subcutaneous,0,"Lipid Metabolism, Inborn Errors; Hyperlipidemias; Metabolic Diseases; Hypolipopr",NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,0,COMPLETED,1
NCT00406107,Pegaptanib Sodium 0.3mg (Macugen),pegaptanib,exposed,0,15,0,0,0,0,none,0,intravitreal,0,Branch Retinal Vein Occlusion,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00406107,Pegaptanib Sodium 1 mg (Macugen),pegaptanib,exposed,0,5,0,0,0,0,none,0,intravitreal,0,Branch Retinal Vein Occlusion,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00427349,MG 706+Octreotide,imetelstat,exposed,0,45,0,0,0,0,none,0,oral,0,Gastrointestinal Carcinoid Tumor; Islet Cell Tumor; Neoplastic Syndrome,other,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00460408,Macugen,pegaptanib,exposed,0,403,0,0,0,0,none,0,intravitreal,0,Macular Degeneration,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00460408,Macugen and Avastin,pegaptanib,exposed,0,16,0,0,0,0,none,0,intravitreal,0,Macular Degeneration,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
NCT00460408,Macugen and Lucentis,pegaptanib,exposed,0,75,0,0,0,0,none,0,intravitreal,0,Macular Degeneration,aptamer,NOT_REPORTED,NOT_REPORTED,0,COMPLETED,1
