file,url,sha256,bytes,pages,retrieved_utc
qalsody_epar_public_assessment_report_en.pdf,https://www.ema.europa.eu/en/documents/assessment-report/qalsody-epar-public-assessment-report_en.pdf,2cb906d6838645d3c0c7361b609a953f357a45bce9e1910dbd8b1fd68eb857e0,5528410,181,2026-09-03T20:31:19Z
qalsody-epar-risk-management-plan_en.pdf,https://www.ema.europa.eu/en/documents/rmp/qalsody-epar-risk-management-plan_en.pdf,ac6823b67dc78d5d123c90e7447412f317665573717dec82af030af2ad5c4922,170265,58,2026-09-03T20:31:19Z
qalsody-epar-procedural-steps-taken-scientific-information-after-authorisation_en.pdf,https://www.ema.europa.eu/en/documents/procedural-steps-after/qalsody-epar-procedural-steps-taken-scientific-information-after-authorisation_en.pdf,5a4b2673fb2efd3e0bbbc271c2b6d0a7982a6d518ab4ec1df783f495ede61dbe,168206,6,2026-09-03T20:31:19Z
spinraza-h-c-004312-x-0038-epar-assessment-report_en.pdf,https://www.ema.europa.eu/en/documents/variation-report/spinraza-h-c-004312-x-0038-epar-assessment-report_en.pdf,2376d365a5ac369808b8dcd86f38014a68ea36cc904ec3427af7f4b5e61c50d4,8480377,128,2026-09-03T20:31:19Z
spinraza-epar-public-assessment-report_en.pdf,https://www.ema.europa.eu/en/documents/assessment-report/spinraza-epar-public-assessment-report_en.pdf,8b80215910cd35fd1edef31b4c8769debc8706eb26c535f9ec4bd7f06002c466,2286529,117,2026-09-03T20:31:19Z
spinraza-pam-0000279100-epar-assessment-report_en.pdf,https://www.ema.europa.eu/en/documents/variation-report/spinraza-pam-0000279100-epar-assessment-report_en.pdf,0aa7d013bcd5b7d171d0afda597f4659ea9751215a46c7a4c7a79c20f3d1bee4,3434166,36,2026-09-03T20:31:19Z
spinraza-h-c-004312-p46-007-epar-assessment-report_en.pdf,https://www.ema.europa.eu/en/documents/variation-report/spinraza-h-c-004312-p46-007-epar-assessment-report_en.pdf,ddb5ef6faa5420cd6cecb36dae951257cfa24319d1b29d6e23db1ae982078ca7,559156,17,2026-09-03T20:31:19Z
spinraza-h-c-psusa-00010595-201805-epar-scientific-conclusions-grounds-variation-terms-marketing-authorisation_en.pdf,https://www.ema.europa.eu/en/documents/scientific-conclusion/spinraza-h-c-psusa-00010595-201805-epar-scientific-conclusions-grounds-variation-terms-marketing-authorisation_en.pdf,17c6ca39aadf306360d703bdcf2f8989871e2603cb581493f242a81426d0f756,70530,2,2026-09-03T20:31:19Z
spinraza-h-c-psusa-00010595-201811-epar-scientific-conclusions-grounds-variation-terms-marketing-authorisation_en.pdf,https://www.ema.europa.eu/en/documents/scientific-conclusion/spinraza-h-c-psusa-00010595-201811-epar-scientific-conclusions-grounds-variation-terms-marketing-authorisation_en.pdf,f1712317b804990aa22dc58a6eb68ec2295ec4589d6ddaee6b7f983e21597c84,70210,2,2026-09-03T20:31:19Z
