nct_id,drug,route,route_evidence,has_adverse_event_module,overall_status,brief_title,conditions,interventions,excluded_reason
NCT00707746,mipomersen,subcutaneous,"mipomersen placebo 1 mL placebo saline, weekly subcutaneous injections for 26 weeks 200 mg (1 mL), weekly subcutaneous injections for 26 weeks",TRUE,COMPLETED,Safety and Efficacy Study of ISIS 301012 (Mipomersen) Administration in High Risk Statin Intolerant Subjects,Metabolic Diseases; Hyperlipidemias; Metabolic Disorder; Hypercholesterolemia; Dyslipidemias; Lipid Metabolism Disorders,mipomersen placebo,
NCT00735943,pegaptanib,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,TERMINATED,Macugen Observational Study,Vascular Endothelial Growth Factor; Macular Degeneration,No intervention,
NCT00761280,trabedersen,subcutaneous,er). Placement of Drug Delivery System Surgery for placement of intratumoral catheter and subcutaneous port access system as per routine clinical practice. Stereotactical catheter placement co,TRUE,TERMINATED,Efficacy and Safety of AP 12009 in Patients With Recurrent or Refractory Anaplastic Astrocytoma or Secondary Glioblastoma,Anaplastic Astrocytoma; Glioblastoma,trabedersen temozolomide Drug delivery system for administration of AP 12009 Placement of Drug Delivery System carmustine lomustine,
NCT00770146,mipomersen,subcutaneous,"loride, 0.004 mg of riboflavin, filled to 1 mL with water). Participants received placebo subcutaneous injection once a week for 26 weeks. Participants received mipomersen 200 mg as a subcutan",TRUE,COMPLETED,Safety and Efficacy of Mipomersen (ISIS 301012) As Add-on Therapy in High Risk Hypercholesterolemic Patients,Hypercholesterolemia; Coronary Heart Disease,Mipomersen sodium Placebo,
NCT00787319,pegaptanib,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,COMPLETED,Long-Term Non-Interventional Study (NIS) To Investigate The Safety And Effectiveness Of MACUGEN In Patients With Neovascular Age-Related Macular Degeneration Under Conditions Of Ro,Age-related Macular Degeneration,no intervention,
NCT00790803,pegaptanib,intravitreal,Pegaptanib Five patients will receive intravitreous injections of Macugen 0.3 mg every 6 weeks as needed for a total of no more than five. Op,TRUE,COMPLETED,Pegaptanib Therapy in Non-Infectious Uveitic Cystoid Macular Edema,Uveitis; Cystoid Macular Edema,Pegaptanib,
NCT00794664,mipomersen,subcutaneous,"Mipomersen 200 mg (1 mL), weekly subcutaneous injections for 26 weeks Placebo 1 mL weekly subcutaneous injections for 26 weeks Weekly s",TRUE,COMPLETED,Safety and Efficacy of Mipomersen in Patients With Severe Hypercholesterolemia on a Maximally Tolerated Lipid-Lowering Regimen and Who Are Not on Apheresis,Hypercholesterolemia; Coronary Heart Disease,Mipomersen Placebo,
NCT00844597,eteplirsen,intravenous,horts. Subjects in this group will receive a 0.5 mg/kg/wk dose of AVI-4658 over 12 weekly IV infusions in 50 mL of normal saline solution over a 60-minute period Subjects in this gro,TRUE,COMPLETED,Dose-Ranging Study of AVI-4658 to Induce Dystrophin Expression in Selected Duchenne Muscular Dystrophy (DMD) Patients,Duchenne Muscular Dystrophy,AVI-4658 for Injection,
NCT00858208,pegaptanib,intravitreal,pegaptanib sodium pegaptanib sodium intravitreal injection every 6 weeks for 2 years,TRUE,COMPLETED,Efficacy And Safety Of Macugen In Patients With Neovascular AMD In Routine Clinical Practice.,Neovascular Age-related Macular Degeneration,pegaptanib sodium,
NCT01100307,pegaptanib,intravitreal,pegaptanib sodium Intravitreal injection of 0.3 mg every 6 weeks sham injection sham injection every 6 weeks,TRUE,COMPLETED,A Phase 3 Study To Compare The Efficacy And Safety Of 0.3 MG Pegaptanib Sodium To Sham Injections In Subjects With Diabetic Macular Edema,Macular Edema; Diabetic Mellitus; Retinal Disease,pegaptanib sodium sham injection,
NCT01189461,pegaptanib,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,COMPLETED,Study To Evaluate Safety And Tolerability Of Pegaptanib Sodium In Patients With Diabetic Macular Edema,Anti- VGF Inhibitor; Diabetic Macular Edema; Diabetic Retinopathy,pegaptanib sodium,
NCT01245387,pegaptanib,intravitreal,vailable as pre-filled syringe containing 0.3 mg MACUGEN® in 90 µL injection solution for intravitreal injection. Macugen injections were documented to reflect the routine clinical practice. F,TRUE,COMPLETED,Observational Study Of The Long-Term Effect Of Macugen In Patients With Wet Age-Related Macular Degeneration,Macular Degeneration; Age-related Macular Degeneration; Neovascular Macular Degeneration,Pegaptanib,
NCT01396239,eteplirsen,intravenous,reatment group 1 (n=4): 50.0 mg/kg eteplirsen once weekly x 24 weeks via a 60-minute i.v. infusion Treatment group 2 (n=4): 30.0 mg/kg eteplirsen once weekly x 24 weeks via a 60-minute i.v,TRUE,COMPLETED,Efficacy Study of AVI-4658 to Induce Dystrophin Expression in Selected Duchenne Muscular Dystrophy Patients,Duchenne Muscular Dystrophy,AVI-4658 (Eteplirsen) Placebo,
NCT01475825,mipomersen,subcutaneous,mipomersen sodium 200 mg Subcutaneous mipomersen 200 mg once weekly Placebo Placebo vehicle for subcutaneous injection. mipomer,TRUE,COMPLETED,A Study of the Safety and Efficacy of Two Different Regimens of Mipomersen in Patients With Familial Hypercholesterolemia and Inadequately Controlled Low-Density Lipoprotein Choles,Hypercholesterolemia; Heterozygous Familial,mipomersen sodium 200 mg Placebo mipomersen sodium 70 mg,
NCT01486238,pegaptanib,intravitreal,IVMac q4 and IVMac q6) will receive 0.3 milligrams (mg) of pegaptanib sodium delivered by intravitreal injection administered. Patients assigned to IVMac q4 will receive a total of 6 intravit,TRUE,COMPLETED,Pegaptanib for Retinal Edema Secondary to Diabetic Vascular Disease(Preserve) Study,Diabetic Macular Edema,Macugen® pegaptanib sodium,
NCT01540409,eteplirsen,intravenous,"AVI-4658 (Eteplirsen) Eteplirsen will be administered once weekly via an IV infusion. There are two treatment groups, 30 mg/kg and 50 mg/kg. Multiple-Dose Extension",TRUE,COMPLETED,"Efficacy, Safety, and Tolerability Rollover Study of Eteplirsen in Subjects With Duchenne Muscular Dystrophy",Duchenne Muscular Dystrophy (DMD),AVI-4658 (Eteplirsen),
NCT01573572,pegaptanib,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,COMPLETED,Extension Study to Gather Data on Effect of Macugen on the Corneal Endothelium,Age-Related Macular Degeneration; Retinal Vein Occlusion; Diabetic Macular Edema,pegaptanib sodium injection,
NCT01617967,patisiran,intravenous,Patisiran Participants received a single dose of patisiran as an intravenous (IV) infusion on Day 0 and Day 28 (Q4W). Optional cohorts received an alternative dosing,TRUE,COMPLETED,Safety and Tolerability of Patisiran (ALN-TTR02) in Transthyretin (TTR) Amyloidosis,TTR-mediated Amyloidosis,Patisiran,
NCT01681433,apatorsen,intravenous,"OGX-427 OGX-427 started within 7 days of randomization, three loading doses of 600 mg IV within Week 1 if possible (up to 10 days of initiating treatment), followed by weekly dos",TRUE,TERMINATED,OGX-427 in Metastatic Castrate-Resistant Prostate Cancer With Prostate-Specific Antigen Progression While Receiving Abiraterone,Prostate Cancer; Metastatic Castrate-Resistant Prostate Cancer; PSA,OGX-427 Abiraterone Acetate Prednisone,
NCT01703988,nusinersen,intrathecal_lumbar,"Nusinersen Single IT injection for each dose 3 mg nusinersen on Days 1, 29, 85, intrathecal (IT) injection 6 mg nusiners",TRUE,COMPLETED,"An Open-label Safety, Tolerability and Dose-Range Finding Study of Multiple Doses of Nusinersen (ISIS 396443) in Participants With Spinal Muscular Atrophy",Spinal Muscular Atrophy,Nusinersen,
NCT01731951,imetelstat,intravenous,Imetelstat Imetelstat sodium administered as IV over 2 hours with treatment as long as participants derive clinical benefit or until end,TRUE,COMPLETED,Imetelstat Sodium in Treating Participants With Primary or Secondary Myelofibrosis,Primary Myelofibrosis; Secondary Myelofibrosis; Myeloid Malignancies,Imetelstat,
NCT01737398,inotersen,subcutaneous,Inotersen Placebo 300 mg inotersen administered subcutaneously (SC) 3 times on alternate days in the first week and then once-weekly for 64 weeks Plac,TRUE,COMPLETED,Efficacy and Safety of Inotersen in Familial Amyloid Polyneuropathy,FAP; Familial Amyloid Polyneuropathy; TTR; Transthyretin; Amyloidosis,Inotersen Placebo,
NCT01780545,apatorsen,intravenous,OGX-427 Three doses of 600 mg OGX-427 will be administered IV during the loading dose period (days -9 to -1). Following completion of the loading dose,TRUE,COMPLETED,Phase 2 Study of Docetaxel +/- OGX-427 in Patients With Relapsed or Refractory Metastatic Bladder Cancer,Bladder Cancer; Urothelial Carcinoma,OGX-427 Docetaxel,
NCT01829113,apatorsen,intravenous,"OGX-427 Three loading doses of 600mg OGX-427 will be administered intravenously (IV) during a 9 day period. Then 600mg IV OGX-427 will be given weekly on Days 1, 8 and",TRUE,COMPLETED,Phase II Trial of Carboplatin and Pemetrexed +/- OGX-427 in Untreated Stage IV Non-Squamous-Non-Small-Cell Lung Cancer,Non Squamous Non Small Cell Lung Cancer,OGX-427 Placebo,
NCT01836549,imetelstat,intravenous,imetelstat sodium Given IV Molecular Biology Phase: Patients will receive one infusion of imetelstat prior to surger,TRUE,TERMINATED,Imetelstat Sodium in Treating Younger Patients With Recurrent or Refractory Brain Tumors,"Anaplastic Astrocytoma; Anaplastic Ependymoma; Astrocytoma, Grade II; Ependymoma; Giant Cell Glioblastoma; Glioblastoma; Gliosarcoma; Oligodendroglioma; Brainstem Tumors",imetelstat sodium,
NCT01839604,danvatirsen,intravenous,"AZD9150 Intravenous infusion over 3 hours. There are two parts, dose escalation phase (Part A) and dose expan",TRUE,COMPLETED,A Phase I/Ib Study of AZD9150 (ISIS-STAT3Rx) in Patients With Advanced/Metastatic Hepatocellular Carcinoma,Advanced Adult Hepatocellular Carcinoma; Hepatocellular Carcinoma Metastatic,AZD9150,
NCT01839656,nusinersen,intrathecal_lumbar,nusinersen Administered by intrathecal (IT) injection,TRUE,COMPLETED,"A Study to Assess the Efficacy, Safety and Pharmacokinetics of Nusinersen (ISIS 396443) in Infants With Spinal Muscular Atrophy (SMA)",Spinal Muscular Atrophy,nusinersen,
NCT01844817,apatorsen,intravenous,"tients will receive 600mg OGX-427 prior to the administration of nab-paclitaxel (125mg/m2 IV)and gemcitabine (1000mg/m2 IV)administration on Day 1, 8, and 15 of each cycle. OGX-427 w",TRUE,COMPLETED,Phase II Trial Of Gemcitabine Plus Nab-Paclitaxel +/- OGX-427 In Patients With Metastatic Pancreatic Cancer,Pancreatic Cancer,OGX-427 Placebo,
NCT01960348,patisiran,intravenous,patisiran (ALN-TTR02) administered by intravenous (IV) infusion Sterile Normal Saline (0.9% NaCl) administered by intravenous (IV) infusion,TRUE,COMPLETED,"APOLLO: The Study of an Investigational Drug, Patisiran (ALN-TTR02), for the Treatment of Transthyretin (TTR)-Mediated Amyloidosis","TTR-mediated Amyloidosis; Amyloidosis, Hereditary; Amyloid Neuropathies, Familial; Familial Amyloid Polyneuropathies; Amyloid Neuropathies; Amyloidosis, Hereditary, Transthyretin-R",patisiran (ALN-TTR02) Sterile Normal Saline (0.9% NaCl),
NCT01961921,patisiran,intravenous,ALN-TTR02 (patisiran) administered by intravenous (IV) infusion,TRUE,COMPLETED,The Study of ALN-TTR02 (Patisiran) for the Treatment of Transthyretin (TTR)-Mediated Amyloidosis in Patients Who Have Already Been Treated With ALN-TTR02 (Patisiran),TTR-mediated Amyloidosis,ALN-TTR02 (patisiran) administered by intravenous (IV) infusion,
NCT02175004,inotersen,subcutaneous,Inotersen Inotersen SC Participants received subcutaneous (SC) doses of 300 milligrams (mg) inotersen once weekl,TRUE,COMPLETED,Extension Study Assessing Long Term Safety and Efficacy of IONIS-TTR Rx in Familial Amyloid Polyneuropathy (FAP),FAP; Familial Amyloid Polyneuropathy; TTR; Transthyretin; Amyloidosis,Inotersen,
NCT02193074,nusinersen,intrathecal_lumbar,nusinersen Administered by intrathecal (IT) injection as specified in the treatment arm. Sham procedure Small needle prick on th,TRUE,TERMINATED,A Study to Assess the Efficacy and Safety of Nusinersen (ISIS 396443) in Infants With Spinal Muscular Atrophy,Spinal Muscular Atrophy,nusinersen Sham procedure,
NCT02211209,volanesorsen,subcutaneous,Volanesorsen Placebo Volanesorsen-matching placebo administered subcutaneously once-weekly for 52 weeks. Volanesorsen 300 mg administered subcutaneously once-weekly f,TRUE,COMPLETED,The APPROACH Study: A Study of Volanesorsen (Formerly IONIS-APOCIIIRx) in Patients With Familial Chylomicronemia Syndrome,Familial Chylomicronemia Syndrome,Volanesorsen Placebo,
NCT02255552,eteplirsen,intravenous,"eteplirsen Eteplirsen 30 mg/kg will be administered as an IV infusion once a week for 96 weeks, followed by a safety extension (not to exceed 48 weeks",TRUE,COMPLETED,Study of Eteplirsen in DMD Patients,Duchenne Muscular Dystrophy (DMD),eteplirsen,
NCT02286947,eteplirsen,intravenous,"Eteplirsen Eteplirsen solution for IV infusion Participants will receive eteplirsen 30 mg/kg/week intravenous (IV) infusions, w",TRUE,COMPLETED,Safety Study of Eteplirsen to Treat Advanced Stage Duchenne Muscular Dystrophy,"Muscular Dystrophy, Duchenne",Eteplirsen,
NCT02292537,nusinersen,intrathecal_lumbar,Nusinersen Administered by intrathecal (IT) lumbar puncture (LP) injection Sham procedure Small needle prick on the lower back a,TRUE,COMPLETED,A Study to Assess the Efficacy and Safety of Nusinersen (ISIS 396443) in Participants With Later-onset Spinal Muscular Atrophy (SMA),Spinal Muscular Atrophy,Nusinersen Sham procedure,
NCT02300233,volanesorsen,subcutaneous,Volanesorsen 300 mg volanesorsen administered subcutaneously once-weekly for 26 weeks. Placebo Volanesorsen-matching placebo administered subcutaneo,TRUE,COMPLETED,The COMPASS Study: A Study of Volanesorsen (Formally ISIS-APOCIIIRx) in Patients With Hypertriglyceridemia,Hypertriglyceridemia,Volanesorsen Placebo,
NCT02310906,golodirsen,intravenous,Placebo SRP-4053 placebo-matching solution for IV infusion. SRP-4053 SRP-4053 (golodirsen) solution for IV infusion. Patients will receive,TRUE,COMPLETED,Phase I/II Study of SRP-4053 in DMD Patients,Duchenne Muscular Dystrophy,Placebo SRP-4053,
NCT02386553,nusinersen,intrathecal_lumbar,Nusinersen Solution for intrathecal injection Nusinersen administered as an intrathecal injection,TRUE,COMPLETED,A Study of Multiple Doses of Nusinersen (ISIS 396443) Delivered to Infants With Genetically Diagnosed and Presymptomatic Spinal Muscular Atrophy,Spinal Muscular Atrophy,Nusinersen,
NCT02417753,danvatirsen,intravenous,"AZD9150 AZD9150 IV infusion over 3 hours Cycle 1: days 1, 3, 5, 8, 15 and 22 of a 28 day cycle. Cycle 2 and",TRUE,TERMINATED,"AZD9150, a STAT3 Antisense Oligonucleotide, in People With Malignant Ascites",Ovarian Cancer; Ovarian Neoplasms; Ascites; Gastrointestinal Cancer; Gastrointestinal Neoplasms,AZD9150,
NCT02420379,eteplirsen,intravenous,eteplirsen Eteplirsen 30 mg/kg will be administered as an IV infusion once a week for 96 weeks. Approximately 20 patients will receive weekly infusion,TRUE,COMPLETED,Safety Study of Eteplirsen to Treat Early Stage Duchenne Muscular Dystrophy,Duchenne Muscular Dystrophy (DMD),eteplirsen,
NCT02426086,imetelstat,intravenous,Imetelstat 4.7 mg/kg Participants received imetelstat 4.7 mg/kg of body weight as intravenous infusion on Day 1 of each 21-day cycle. Study drug was administered intravenously until d,TRUE,COMPLETED,Study to Evaluate Activity of 2 Dose Levels of Imetelstat in Participants With Intermediate-2 or High-Risk Myelofibrosis (MF) Previously Treated With Janus Kinase (JAK) Inhibitor,Myelofibrosis,Imetelstat 4.7 mg/kg Imetelstat 9.4 mg/kg,
NCT02462759,nusinersen,intrathecal_lumbar,Nusinersen Administered by intrathecal injection. Sham Procedure Small needle prick on the lower back at the location where the,TRUE,TERMINATED,A Study to Assess the Safety and Tolerability of Nusinersen (ISIS 396443) in Participants With Spinal Muscular Atrophy (SMA).,Spinal Muscular Atrophy,Nusinersen Sham Procedure,
NCT02499328,danvatirsen,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,COMPLETED,Study to Assess MEDI4736 With Either AZD9150 or AZD5069 in Advanced Solid Tumors & Relapsed Metastatic Squamous Cell Carcinoma of Head & Neck,Advanced Solid Tumors & Metastatic Squamous Cell Carcinoma of the Head and Neck,AZD9150 MEDI4736 AZD5069 tremelimumab (treme),
NCT02510261,patisiran,intravenous,Patisiran Patisiran was administered IV. Participants who received placebo and completed parent study ALN-TTR02-004 (NCT01960348),TRUE,COMPLETED,"The Study of an Investigational Drug, Patisiran (ALN-TTR02), for the Treatment of Transthyretin (TTR)-Mediated Amyloidosis in Participants Who Have Already Been Treated With ALN-TT",Amyloidosis,Patisiran,
NCT02525523,alicaforsen,topical_enema,"Alicaforsen Placebo Alicaforsen enema, 240mg once daily for 6 weeks Placebo enema, once daily for 6 weeks",TRUE,COMPLETED,Efficacy of Alicaforsen in Pouchitis Patients Who Have Failed to Respond to at Least One Course of Antibiotics,Pouchitis,Alicaforsen Placebo,
NCT02527343,volanesorsen,subcutaneous,"volanesorsen 300 mg of volanesorsen administered subcutaneous (SC) injection, once-weekly (QW). Placebo Volanesorsen-matching placebo administered SC i",TRUE,TERMINATED,The BROADEN Study: A Study of Volanesorsen (Formerly IONIS-APOCIIIRx) in Participants With Familial Partial Lipodystrophy,Familial Partial Lipodystrophy,volanesorsen Placebo,
NCT02530905,casimersen,intravenous,SRP-4045 SRP-4045 solution for IV infusion. Placebo SRP-4045 placebo-matching solution for IV infusion. Participants with g,TRUE,COMPLETED,Dose-Titration and Open-label Extension Study of SRP-4045 in Advanced Stage Duchenne Muscular Dystrophy (DMD) Patients,Duchenne Muscular Dystrophy,SRP-4045 Placebo,
NCT02554773,fitusiran,subcutaneous,tusiran (SAR439774) Pharmaceutical form: solution for injection Route of administration : subcutaneous (sc) Patients will be administered subcutaneous (SC) fitusiran once monthly or every 2 mo,TRUE,COMPLETED,"An Open-label Extension Study of an Investigational Drug, Fitusiran, in Patients With Moderate or Severe Hemophilia A or B",Hemophilia A; Hemophilia B,Fitusiran (SAR439774),
NCT02594124,nusinersen,intrathecal_lumbar,nusinersen Administered by intrathecal (IT) injection Participants transitioned from ISIS 396443-CS3B (NCT02193074) Participants,TRUE,COMPLETED,A Study for Participants With Spinal Muscular Atrophy (SMA) Who Previously Participated in Nusinersen (ISIS 396443) Investigational Studies,Spinal Muscular Atrophy,nusinersen,
NCT02597127,inclisiran,subcutaneous,"a small interfering ribonucleic acid (RNA) that inhibits PCSK9 synthesis and is given as SC injections Normal Saline Saline (sterile, normal, 0.9%) solution given as SC injections A",TRUE,COMPLETED,Trial to Evaluate the Effect of ALN-PCSSC Treatment on Low Density Lipoprotein Cholesterol (LDL-C),Atherosclerotic Cardiovascular Disease; Familial Hypercholesterolemia; Diabetes,ALN-PCSSC Normal Saline,
NCT02598661,imetelstat,intravenous,Imetelstat Sodium Imetelstat sodium IV infusion. Placebo Imetelstat sodium-matching placebo IV infusion. Imetelstat sodium admin,TRUE,ACTIVE_NOT_RECRUITING,Study to Evaluate Imetelstat (GRN163L) in Participants With International Prognostic Scoring System (IPSS) Low or Intermediate-1 Risk Myelodysplastic Syndrome (MDS),Myelodysplastic Syndromes,Imetelstat Sodium Placebo,
NCT02623699,tofersen,intrathecal_lumbar,"in the treatment arm. Participants will be administered tofersen-matching placebo once by intrathecal bolus injection on Day 1 of Cohorts 1, 2, 3, and 4 respectively. Participants will be adm",TRUE,COMPLETED,"An Efficacy, Safety, Tolerability, Pharmacokinetics and Pharmacodynamics Study of BIIB067 (Tofersen) in Adults With Inherited Amyotrophic Lateral Sclerosis (ALS)",Amyotrophic Lateral Sclerosis,Tofersen Placebo,
NCT02639286,volanesorsen,subcutaneous,ISIS 304801 300 mg of ISIS 304801 administered as SC Placebo Placebo administered via SC Placebo administered subcutaneously (SC) 300 mg of st,TRUE,COMPLETED,"Efficacy, Safety and Tolerability of ISIS 304801 in People With Partial Lipodystrophy With an Open-Label Extension",Lipodystrophy,ISIS 304801 Placebo,
NCT02658175,volanesorsen,subcutaneous,Volanesorsen 300 mg volanesorsen administered via SC injection. Treatment naïve group included combined group of ISIS 304801-CS7 (CS7-New) stu,TRUE,COMPLETED,The Approach Open Label Study: A Study of Volanesorsen (Formerly IONIS-APOCIIIRx) in Participants With Familial Chylomicronemia Syndrome,Familial Chylomicronemia Syndrome; Lipoprotein Lipase Deficiency; Hyperlipoproteinemia Type 1,Volanesorsen,
NCT02706886,lumasiran,subcutaneous,"Lumasiran Lumasiran will be administered SC once in Part A. In Part B lumasiran will be administered SC qM (Days 1, 29 and 57) or q3M",TRUE,COMPLETED,Study of Lumasiran in Healthy Adults and Patients With Primary Hyperoxaluria Type 1,Primary Hyperoxaluria Type 1 (PH1),Lumasiran Placebo,
NCT02851407,defibrotide,intravenous,Defibrotide Best Supportive Care Defibrotide is administered intravenously at a dose of 25 mg/kg/day in addition to best supportive care on the day before the fir,TRUE,COMPLETED,Study Comparing Efficacy and Safety of Defibrotide vs Best Supportive Care in the Prevention of Hepatic Veno-Occlusive Disease in Adult and Pediatric Patients,Veno-occlusive Disease,Defibrotide Best Supportive Care,
NCT02876601,defibrotide,intravenous,Defibrotide 6.25mg/kg bodyweight over 2h infusion Placebo (0.9% sodium chloride) (0.9% sodium chloride) infusion over 2h infusion Lipopolys,TRUE,COMPLETED,Defibrotide in the Human Endotoxemia Model --- an Exploratory Trial Investigating the Effects and the Mechanisms of Defibrotide,Healthy Volunteers; Endotoxemia,Defibrotide Placebo (0.9% sodium chloride) Lipopolysaccharide Placebo (0.9% sodium chloride bolus),
NCT02949830,givosiran,subcutaneous,"Givosiran Givosiran by subcutaneous (SC) injection. At the beginning of this study, participants received either givosiran 2.",TRUE,COMPLETED,A Study to Evaluate Long-term Safety and Clinical Activity of Givosiran (ALN-AS1) in Patient With Acute Intermittent Porphyria (AIP),Acute Intermittent Porphyria,Givosiran,
NCT02963311,inclisiran,subcutaneous,small interfering ribonucleic acid (siRNA) that inhibits PCSK9 synthesis and is given as SC injections. Standard of Care Included maximally-tolerated statin therapy and/or other low,TRUE,COMPLETED,A Study of ALN-PCSSC in Participants With Homozygous Familial Hypercholesterolemia (HoFH),Homozygous Familial Hypercholesterolemia,ALN-PCSSC Standard of Care,
NCT03060577,inclisiran,subcutaneous,volocumab is a fully human monoclonal antibody that inhibits PCSK9. Participants received subcutaneous injections of inclisiran 300 milligrams (mg) on Day 1 and every 180 days thereafter for u,TRUE,COMPLETED,An Extension Trial of Inclisiran in Participants With Cardiovascular Disease and High Cholesterol,Atherosclerotic Cardiovascular Disease; Symptomatic Atherosclerosis; Type2 Diabetes; Familial Hypercholesterolemia,Inclisiran Evolocumab,
NCT03070119,tofersen,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,COMPLETED,Long-Term Evaluation of BIIB067 (Tofersen),ALS Caused by Superoxide Dismutase 1 (SOD1) Mutation,Tofersen,
NCT03140969,sepofarsen,intravitreal,QR-110 RNA antisense oligonucleotide for intravitreal injection Administered every 3 months,TRUE,COMPLETED,Study to Evaluate QR-110 in Leber's Congenital Amaurosis (LCA) Due to the c.2991+1655A>G Mutation (p.Cys998X) in the CEP290 Gene,Leber's Congenital Amaurosis,QR-110,
NCT03186989,BIIB080,intrathecal_lumbar,"ams (mg) ISIS 814907 diluted in 20 milliliters (mL) artificial cerebrospinal fluid (CSF), intrathecally, every four weeks (Q4W) on Days 1, 29, 57, and 85 in Part 1 of the study. Participants",TRUE,COMPLETED,"Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of IONIS-MAPTRx in Patients With Mild Alzheimer's Disease",Mild Alzheimer's Disease,IONIS MAPTRx Placebo,
NCT03218995,eteplirsen,intravenous,Eteplirsen Infusion for intravenous use. Eteplirsen will be administered once every 7 days by intravenous (IV,TRUE,COMPLETED,Study of Eteplirsen in Young Participants With Duchenne Muscular Dystrophy (DMD) Amenable to Exon 51 Skipping,Duchenne Muscular Dystrophy,Eteplirsen,
NCT03225833,WVE-120101,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,TERMINATED,Safety and Tolerability of WVE-120101 in Patients With Huntington's Disease,Huntington's Disease,WVE-120101 Placebo,
NCT03225846,WVE-120102,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,TERMINATED,Safety and Tolerability of WVE-120102 in Patients With Huntington's Disease,Huntington's Disease,WVE-120102 Placebo,
NCT03334617,danvatirsen,intravenous,Durvalumab Participants will receive IV infusion of durvalumab as stated in arm description. Danvatirsen Participants will receiv,TRUE,ACTIVE_NOT_RECRUITING,Phase II Umbrella Study of Novel Anti-cancer Agents in Participants With NSCLC Who Progressed on an Anti-PD-1/PD-L1 Containing Therapy,Non-Small Cell Lung Cancer,Durvalumab Danvatirsen Ceralasertib Vistusertib Olaparib Oleclumab Trastuzumab deruxtecan Cediranib,
NCT03338816,givosiran,subcutaneous,Givosiran Givosiran by SC Placebo Matching placebo (normal saline \[0.9% NaCl\]) by SC Givosiran 2.5 mg/kg administ,TRUE,COMPLETED,ENVISION: A Study to Evaluate the Efficacy and Safety of Givosiran (ALN-AS1) in Patients With Acute Hepatic Porphyrias (AHP),"Acute Hepatic Porphyria; Acute Intermittent Porphyria; Porphyria, Acute Intermittent; Acute Porphyria; Hereditary Coproporphyria (HCP); Variegate Porphyria (VP); ALA Dehydratase De",Givosiran Placebo,
NCT03339297,defibrotide,intravenous,Defibrotide 6.25 mg/kg via 2-hour IV infusion every 6 hours Standard of Care Administered according to local institutional gui,TRUE,COMPLETED,An Open-Label Study of Defibrotide for the Prevention of Acute Graft-versus-Host-Disease (AGvHD),Graft-versus-host Disease; Acute-graft-versus-host Disease,Defibrotide Standard of Care,
NCT03342053,tominersen,intrathecal_lumbar,RO7234292 (RG6042) Intrathecal injection RO7234292 is administered every 28 days intrathecally for 14 months. RO7234292,TRUE,COMPLETED,"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of RO7234292 (ISIS 443139) in Huntington's Disease Patients Who Participated in Prior Investiga",Huntington's Disease,RO7234292 (RG6042),
NCT03350451,lumasiran,subcutaneous,"Lumasiran Multiple doses of lumasiran by SC injection Participants enrolling from study 001B (NCT02706886), received lumasiran, subcu",TRUE,COMPLETED,"An Extension Study of an Investigational Drug, Lumasiran (ALN-GO1), in Participants With Primary Hyperoxaluria Type 1",PH1; Primary Hyperoxaluria; RNAi Therapeutic; siRNA; AGT,Lumasiran,
NCT03384693,defibrotide,intravenous,"ther endothelial disorders such as hepatic veno-occlusive disease. 6.25mg/kg administered intravenously every 6 hours for 28 to 35 days, starting on the day before conditioning is initiated.",TRUE,COMPLETED,Defibrotide TMA Prophylaxis Pilot Trial,Thrombotic Microangiopathies,Defibrotide,
NCT03397121,inclisiran,subcutaneous,"in water for injection). Inclisiran sodium 300 milligrams (mg) will be administered as a SC injection on Day 1, Day 90 then every 6 months. Placebo will be administered as SC inject",TRUE,COMPLETED,Trial to Evaluate the Effect of Inclisiran Treatment on Low Density Lipoprotein Cholesterol (LDL-C) in Subjects With Heterozygous Familial Hypercholesterolemia (HeFH),Heterozygous Familial Hypercholesterolemia; Elevated Cholesterol,Inclisiran Placebo,
NCT03399370,inclisiran,subcutaneous,"in water for injection). Inclisiran sodium 300 milligrams (mg) will be administered as a SC injection on Day 1, Day 90, then every 6 months. Placebo will be administered as a SC inj",TRUE,COMPLETED,Inclisiran for Participants With Atherosclerotic Cardiovascular Disease and Elevated Low-density Lipoprotein Cholesterol,ASCVD; Elevated Cholesterol,Inclisiran Sodium Placebo,
