nct_id,drug,route,route_evidence,has_adverse_event_module,overall_status,brief_title,conditions,interventions,excluded_reason
NCT04652726,inclisiran,subcutaneous,lisiran Inclisiran sodium 300 mg (equivalent to 284 mg inclisiran) in 1.5 mL solution for subcutaneous injection Placebo Sterile normal saline (0.9% sodium chloride in water for subcutaneous i,TRUE,COMPLETED,Study to Evaluate Efficacy and Safety of Inclisiran in Adolescents With Heterozygous Familial Hypercholesterolemia,Familial Hypercholesterolemia - Heterozygous,Inclisiran Placebo,
NCT04659863,inclisiran,subcutaneous,lisiran Inclisiran sodium 300 mg (equivalent to 284 mg inclisiran) in 1.5 mL solution for subcutaneous injection Placebo Sterile normal saline (0.9% sodium chloride in water for injection) for,TRUE,COMPLETED,Study to Evaluate Efficacy and Safety of Inclisiran in Adolescents With Homozygous Familial Hypercholesterolemia,Familial Hypercholesterolemia - Homozygous,Inclisiran Placebo,
NCT04666298,inclisiran,subcutaneous,"Inclisiran sodium Subcutaneously injected on Day 1, 90 and 270. Placebo Subcutaneously injected on Day 1, 90, and 270. S",TRUE,COMPLETED,Study of Efficacy and Safety of Inclisiran in Japanese Participants With High Cardiovascular Risk and Elevated LDL-C,Hypercholesterolemia; Heterozygous Familial Hypercholesterolemia,Inclisiran sodium Placebo,
NCT04807400,inclisiran,subcutaneous,Inclisiran Inclisiran Sodium 300mg on Day 1 and Day 90 by subcutaneous injection Behavioural Support Regular telephone based behavioural support programme deliv,TRUE,COMPLETED,Study in Primary Care Evaluating Inclisiran Delivery Implementation + Enhanced Support,Atherosclerotic Cardiovascular Disease; Atherosclerotic Cardiovascular Disease Risk Equivelents; Elevated Low Density Lipoprotein Cholesterol,Inclisiran Behavioural Support Background lipid lowering therapy,
NCT04873934,inclisiran,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,COMPLETED,Management of LDL-cholesterol With Inclisiran + Usual Care Compared to Usual Care Alone in Participants With a Recent Acute Coronary Syndrome,Acute Coronary Syndrome,Inclisiran,
NCT04929249,inclisiran,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,COMPLETED,"A Randomized Study to Evaluate the Effect of an ""Inclisiran First"" Implementation Strategy Compared to Usual Care in Patients With Atherosclerotic Cardiovascular Disease and Elevat",Atherosclerotic Cardiovascular Disease,Inclisiran,
NCT04956289,viltolarsen,intravenous,Viltolarsen Received during weekly intravenous infusions Patients amenable to exon 53 skipping will receive viltolarsen intravenous (IV),TRUE,COMPLETED,"Study to Assess the Safety, Tolerability, and Efficacy of Viltolarsen in Ambulant and Non-Ambulant Boys With DMD (Galactic53)",Duchenne Muscular Dystrophy,Viltolarsen,
NCT05001269,nedosiran,subcutaneous,nedosiran Monthly subcutaneous dosing throughout study period Open-Label monthly subcutaneous injection of DCR-PHXC base,TRUE,COMPLETED,Nedosiran in Pediatric Patients From Birth to 11 Years of Age With PH and Relatively Intact Renal Function,Primary Hyperoxaluria; Primary Hyperoxaluria Type 1; Primary Hyperoxaluria Type 2; Primary Hyperoxaluria Type 3,nedosiran,
NCT05032196,WVE-003,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,COMPLETED,Study of WVE-003 in Patients With Huntington's Disease,Huntington Disease,SAD: 30mg WVE-003 SAD: 60mg WVE-003 SAD: 90mg WVE-003 SAD: Pooled Placebo MD: 30mg WVE-003 MD: Placebo,
NCT05085964,ultevursen,intravitreal,RNA antisense oligonucleotide for intravitreal injection QR-421a will be first administered to the fellow eye (as defined in the precedi,TRUE,TERMINATED,An Open-Label Extension Study to Evaluate Safety & Tolerability of QR-421a in Subjects With Retinitis Pigmentosa,Retinitis Pigmentosa; Usher Syndrome Type 2,RNA antisense oligonucleotide for intravitreal injection,
NCT05139810,donidalorsen,subcutaneous,Donidalorsen Donidalorsen was administered by SC injection. Placebo Donidalorsen-matching placebo was administered by SC injection. Partic,TRUE,COMPLETED,OASIS-HAE: A Study to Evaluate the Safety and Efficacy of Donidalorsen (ISIS 721744 or IONIS-PKK-LRx) in Participants With Hereditary Angioedema (HAE),Hereditary Angioedema,Donidalorsen Placebo,
NCT05158296,ultevursen,intravitreal,Ultevursen RNA antisense oligonucleotide for intravitreal injection Sham-procedure Sham-procedure (no experimental drug administered) 60 µg loading,TRUE,TERMINATED,Study to Evaluate the Efficacy Safety and Tolerability of Ultevursen in Subjects With RP Due to Mutations in Exon 13 of the USH2A Gene (Sirius),"Retinitis Pigmentosa; Usher Syndrome Type 2; Deaf Blind; Retinal Disease; Eye Diseases; Eye Diseases, Hereditary; Eye Disorders Congenital; Vision Disorders",Ultevursen Sham-procedure,
NCT05161936,lumasiran,subcutaneous,Lumasiran Lumasiran will be administered by SC injection. Placebo Placebo will be administered by SC injection. Participants will be adm,TRUE,TERMINATED,A Study to Evaluate Lumasiran in Adults With Recurrent Calcium Oxalate Kidney Stone Disease and Elevated Urinary Oxalate Levels,Recurrent Calcium Oxalate Kidney Stone Disease; Elevated Urinary Oxalate Levels,Lumasiran Placebo,
NCT05176717,ultevursen,intravitreal,QR-421a RNA antisense oligonucleotide for intravitreal injection Sham-procedure Sham-procedure (no experimental drug administered) 180 µg loadin,TRUE,TERMINATED,Study to Evaluate the Efficacy Safety and Tolerability of QR-421a in Subjects With RP Due to Mutations in Exon 13 of the USH2A Gene With Early to Moderate Vision Loss (Celeste),"Retinitis Pigmentosa; Usher Syndrome Type 2; Deaf Blind; Retinal Disease; Eye Diseases; Eye Diseases, Hereditary; Eye Disorders Congenital; Vision Disorders",QR-421a Sham-procedure,
NCT05192941,inclisiran,subcutaneous,"Inclisiran Sodium Subcutaneously injected on Day 1, Day 90, and Day 270 Placebo Placebo to inclisiran 300 mg subcutaneou",TRUE,COMPLETED,"Study of Efficacy, Safety, Tolerability and Quality of Life of Inclisiran (KJX839) vs Placebo, on Top of Ongoing Individually Optimized Lipid-lowering Therapy, in Participants With",Hypercholesterolemia,Inclisiran Sodium Placebo,
NCT05330455,bepirovirsen,subcutaneous,were given the option to receive subsequent treatment of optional open label bepirovirsen subcutaneous (SC) injection from Day 43. PLWCHB on stable NA therapy received repeat doses of GSK39651,TRUE,TERMINATED,Study of GSK3965193 in Healthy Participants and Participants Living With Chronic Hepatitis B Infection,Hepatitis B,GSK3965193 Placebo to match GSK3965193 Bepirovirsen,
NCT05355402,olezarsen,subcutaneous,"Olezarsen SC injection. Placebo SC injection. Participants received olezarsen-matching placebo, as a s",TRUE,COMPLETED,"A Study of Olezarsen (Formerly Known as AKCEA-APOCIII-LRx) in Adults With Hypertriglyceridemia and Atherosclerotic Cardiovascular Disease (Established or at Increased Risk for), an",Hypertriglyceridemia; Atherosclerotic Cardiovascular Disease; Severe Hypertriglyceridemia,Olezarsen Placebo,
NCT05386680,nusinersen,intrathecal_lumbar,"OAV101 Intrathecal administration of OAV101 at a dose of 1.2 x 10\^14 vector genomes, one time dose Intrathe",TRUE,COMPLETED,"Phase IIIb, Open-label, Multi-center Study to Evaluate Safety, Tolerability and Efficacy of OAV101 Administered Intrathecally to Participants With SMA Who Discontinued Treatment Wi",Spinal Muscular Atrophy,OAV101,
NCT05583552,imetelstat,intravenous,Imetelstat sodium Intravenous injection,TRUE,ACTIVE_NOT_RECRUITING,Study to Evaluate Imetelstat in Patients With High-Risk MDS or AML Failing HMA-based Therapy,Myelodysplastic Syndromes; Acute Myeloid Leukemia,Imetelstat sodium,
NCT05635045,patisiran; vutrisiran,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,COMPLETED,Evuzamitide in PET/CT to Measure Potential Therapeutic Response in ATTR,Transthyretin Amyloidosis,I 124-Evuzamitide,
NCT05763875,inclisiran,subcutaneous,Inclisiran 284 mg (equivalent to 300 mg inclisiran sodium) subcutaneous injection given on Day 1 and Day 90 Ezetimibe 10 mg over-encapsulated tablet taken once a,TRUE,COMPLETED,Efficacy and Safety of Inclisiran as Monotherapy in Patients With Primary Hypercholesterolemia Not Receiving Lipid-lowering Therapy.,Hypercholesterolemia,Inclisiran Ezetimibe Matching Placebo for Inclisiran Matching Placebo for Ezetimibe,
NCT05814666,danvatirsen,intravenous,"and blocks its interaction with PD-L1 and PD-L2 Danvatirsen dosing: Week 1: Danvatirsen intravenously (IV) on Days 1, 3, and 5 Week 2 and subsequent weeks: Danvatirsen IV weekly Pembroliz",TRUE,TERMINATED,Activity and Safety of Danvatirsen and Pembrolizumab in HNSCC,HNSCC,Danvatirsen Pembrolizumab,
NCT05888103,inclisiran,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,COMPLETED,Efficacy and Safety of Inclisiran as Monotherapy in Chinese Adults With Low or Moderate ASCVD Risk and Elevated Low-density Lipoprotein Cholesterol.,Primary Hypercholesterolemia or Mixed Dyslipidemia,Inclisiran Matching Placebo for Inclisiran,
NCT06058390,bepirovirsen,NOT_REPORTED,no route statement found in the trial's intervention or arm descriptions,TRUE,COMPLETED,A Study to Evaluate the Relative Bioavailability of Subcutaneous Bepirovirsen When Delivered From a Vial or Prefilled Syringe Fitted With a Safety Syringe Device in Healthy Adult P,Hepatitis B,Bepirovirsen,
NCT06422767,bepirovirsen,subcutaneous,epirovirsen was administered. Placebo Placebo was administered. Participant received four subcutaneous (SC) injections of Bepirovirsen dose level 1 on Day 1. Participants received four matchin,TRUE,COMPLETED,Study to Evaluate the Effect of Bepirovirsen on Cardiac Conduction as Assessed by 12-lead Electrocardiogram in Healthy Volunteers,Hepatitis B,Bepirovirsen Placebo,
