pt,FAERS_US_reports_2026-07-30,EudraVigilance_EU_cases_2026-08-23,VigiBase_WHO_ADRs_2026-08-23
NUSINERSEN Hydrocephalus,23,28,29
NUSINERSEN Hypertensive hydrocephalus,not_queried,1,1
NUSINERSEN Normal pressure hydrocephalus,not_queried,1,1
NUSINERSEN Cerebral ventricle dilatation,not_queried,4,6
NUSINERSEN Cerebrospinal fluid circulation disorder,not_queried,1,1
NUSINERSEN total reports/cases/ADRs,not_queried,3533,9713
TOFERSEN Hydrocephalus,2,1,1
TOFERSEN Normal pressure hydrocephalus,not_queried,1,1
TOFERSEN total reports/cases/ADRs,not_queried,293,657
