query,ingredient,trade_name,vigibase_total_adrs,soc,soc_adrs,pt,pt_adrs
inotersen,Inotersen,,2133,Investigations,760,Right ventricular ejection fraction decreased,1
inotersen,Inotersen,,2133,Nervous system disorders,497,Subarachnoid haemorrhage,1
inotersen,Bromperidol,Intermen,279,"Injury, poisoning and procedural complications",24,Subarachnoid haemorrhage neonatal,1
inotersen,Bromperidol,Intermen,279,Nervous system disorders,123,Meningism,1
inotersen,Caffeine;Paracetamol;Propyphenazone,Interpen,5580,"Congenital, familial and genetic disorders",1,Ventricular septal defect,1
inotersen,Caffeine;Paracetamol;Propyphenazone,Interpen,5580,Nervous system disorders,509,Intracranial aneurysm,1
inotersen,Caffeine;Paracetamol;Propyphenazone,Interpen,5580,Nervous system disorders,509,Subarachnoid haemorrhage,1
patisiran,Patisiran,,3537,Investigations,474,CSF test abnormal,1
patisiran,Patisiran,,3537,Nervous system disorders,755,Subarachnoid haemorrhage,3
patisiran,Patisiran,,3537,Nervous system disorders,755,Hydrocephalus,1
givosiran,Givosiran,,1565,Investigations,326,Lumbar puncture,1
inclisiran,Inclisiran,,10945,Infections and infestations,967,Meningitis viral,1
inclisiran,Inclisiran,,10945,Nervous system disorders,1617,Cerebral ventricle dilatation,1
inclisiran,Inclisiran,,10945,Nervous system disorders,1617,Haemorrhage intracranial,1
inclisiran,Inclisiran,,10945,Nervous system disorders,1617,Periventricular leukomalacia,1
inclisiran,Inclisiran,Inclisiran sodium,10945,Infections and infestations,967,Meningitis viral,1
inclisiran,Inclisiran,Inclisiran sodium,10945,Nervous system disorders,1617,Cerebral ventricle dilatation,1
inclisiran,Inclisiran,Inclisiran sodium,10945,Nervous system disorders,1617,Haemorrhage intracranial,1
inclisiran,Inclisiran,Inclisiran sodium,10945,Nervous system disorders,1617,Periventricular leukomalacia,1
eteplirsen,Eteplirsen,,1996,Eye disorders,14,Papilloedema,2
eteplirsen,Eteplirsen,,1996,Nervous system disorders,82,Idiopathic intracranial hypertension,1
eteplirsen,Eteplirsen,,1996,Nervous system disorders,82,Intracranial pressure increased,1
viltolarsen,Viltolarsen,,132,Infections and infestations,31,Meningitis viral,1
vutrisiran,Vutrisiran,,2281,Infections and infestations,169,Meningitis bacterial,1
vutrisiran,Vutrisiran,,2281,Investigations,198,CSF red blood cell count positive,1
vutrisiran,Vutrisiran,,2281,Investigations,198,Human papilloma virus test positive,1
vutrisiran,Vutrisiran,,2281,Nervous system disorders,398,Hydrocephalus,1
vutrisiran,Vutrisiran,,2281,Nervous system disorders,398,Intracranial aneurysm,1
vutrisiran,Vutrisiran,,2281,Nervous system disorders,398,Subarachnoid haemorrhage,1
vutrisiran,Vutrisiran,,2281,Surgical and medical procedures,576,Ventricular assist device insertion,1
